filepath,description
COCO_val2014_000000022382,two clocks on the second floor of the building.
COCO_val2014_000000022396,a commercial plane is flying from the perspective of a crescent moon.
COCO_val2014_000000022403,a group of children displaying sportsmanship after a baseball game.
COCO_val2014_000000022420,a person holding a book in a bookstore
COCO_val2014_000000022423,an elephant is using its tusk to lift a man's hat.
COCO_val2014_000000022432,this is a hotel room for two people with two beds and a tv.
COCO_val2014_000000022446,"meat and rice dishes, and other foods."
COCO_val2014_000000022474,a cake placed at the end of the conveyor.
COCO_val2014_000000022479,a skateboarder is holding the underside of the board in mid-air.
COCO_val2014_000000022498,a man wearing a black surfing suit is riding a solo parasail.
COCO_val2014_000000022563,the vase placed on the shelf contains a variety of colorful flowers.
COCO_val2014_000000022599,a dog chasing a frisbee on the grass.
COCO_val2014_000000022621,a kitchen with a very mismatched bright blue cabinet and brown floor.
COCO_val2014_000000022623,a small mobile phone placed on a dark surface.
COCO_val2014_000000022626,a leg on the snowboard is looking down a steep slope.
COCO_val2014_000000022628,a group of people standing in the beach area.
COCO_val2014_000000022646,an elderly man wearing a blue jacket is smiling for the photo.
COCO_val2014_000000022649,"at night, a fire hydrant is visible outside the building."
COCO_val2014_000000022656,a man taking a picture of himself in the mirror.
COCO_val2014_000000022660,"in the evening photo, there is a bench on the platform of the station."
COCO_val2014_000000022667,there is a yacht near the spot where the lighthouse is located.
COCO_val2014_000000022690,there is a sandwich with powdered (substance) on it placed on a plate on the table.
COCO_val2014_000000022705,a woman wearing a black dress standing in front of a freezer.
COCO_val2014_000000022718,an airplane flying against the backdrop of the sunset.
COCO_val2014_000000022724,a clock tower protruding above several buildings.
COCO_val2014_000000022747,a set of five colorful toothbrushes.
COCO_val2014_000000022755,the school bus is reflected in the rearview mirror.
COCO_val2014_000000022759,a brown and black cat is sitting on the cushion.
COCO_val2014_000000022775,the knife next to the orange in the bowl.
COCO_val2014_000000022793,there are urinals lined up in the men's restroom.
COCO_val2014_000000022797,an airplane landing on the runway during the daytime.
COCO_val2014_000000022802,the sky above the sandy beach is a very bright blue color.
COCO_val2014_000000022819,a surfer is riding a wave on a surfboard.
COCO_val2014_000000022850,the soldiers are watching as two commanders cut a cake with a sword.
COCO_val2014_000000022874,a dog lying on the carpet and a flying disc next to it.
COCO_val2014_000000022892,"a dog is looking through the window; inside, there's a cat beside a plant."
COCO_val2014_000000022935,a soccer player wearing a blue uniform is running after a soccer ball.
COCO_val2014_000000022963,the tiled restroom has a toilet and toilet paper.
COCO_val2014_000000022969,two giraffes at the zoo are walking around and enjoying their snacks.
COCO_val2014_000000022983,a big cow is eating grass in a grassy meadow.
COCO_val2014_000000023017,an orange liquid is being mixed in the blender.
COCO_val2014_000000023019,there is little traffic in the urban area near several high-rise buildings.
COCO_val2014_000000023023,there are suitcases and other types of luggage placed on a carpeted floor indoors.
COCO_val2014_000000023051,graffiti is spray-painted on the door of the red train.
COCO_val2014_000000023084,an image of a tennis player hitting a ball with a racket
COCO_val2014_000000023121,a man wearing a black shirt and a bandana is playing tennis.
COCO_val2014_000000023126,there is a man standing on the horse.
COCO_val2014_000000023200,a person flying a kite at the beach.
COCO_val2014_000000023201,a police officer in a raincoat and a mounted police officer on a horse.
COCO_val2014_000000023247,a woman is taking milk out of the refrigerator.
COCO_val2014_000000023272,a calico cat with its eyes closed is sitting on top of a mercedes.
COCO_val2014_000000023294,four people at the beach holding several surfboards.
COCO_val2014_000000023309,"tricolor pasta salad with onions, broccoli, and olives."
COCO_val2014_000000023320,a slice has been cut from the big cake.
COCO_val2014_000000023351,"three giraffes, one of which is sitting on the ground while the other two are standing."
COCO_val2014_000000023359,a young man is snowboarding on the snow.
COCO_val2014_000000023369,a motorcycle parked in a place like a park.
COCO_val2014_000000023380,a display case that stores various bus boarding guides.
COCO_val2014_000000023406,it looks like a man is taking care of an elephant.
COCO_val2014_000000023411,"three zebras are standing on the grassland, with trees in the background."
COCO_val2014_000000023446,a man is talking on a mobile phone while using a computer.
COCO_val2014_000000023448,a hot dog with a lot of cheese and some fried onion rings are ready to be eaten.
COCO_val2014_000000023575,a black desktop computer is placed on a cluttered desk.
COCO_val2014_000000023579,a woman is sitting on the bus with a dog next to her.
COCO_val2014_000000023584,a woman wearing an orange and white tennis outfit on the tennis court.
COCO_val2014_000000023585,a male tennis player who has just finished hitting a shot.
COCO_val2014_000000023587,a child is standing at the base holding a bat.
COCO_val2014_000000023623,a bathroom with a sink and a mirror
COCO_val2014_000000023656,"in the small office, there are a desk, a microscope, a folding chair, and a cat."
COCO_val2014_000000023666,there is a toilet covered in dust and a clawfoot bathtub in the old bathroom.
COCO_val2014_000000023709,a small boy sitting on the stairs is holding a racket.
COCO_val2014_000000023731,a cat relaxing on a floor-covered chair.
COCO_val2014_000000023741,this is a photograph of a motorcycle leaning into a corner.
COCO_val2014_000000023751,a statue of two people flying a kite.
COCO_val2014_000000023754,a surfer performing aerial maneuvers above the waves crashing in the ocean.
COCO_val2014_000000023781,various kinds of vegetables and some strawberries
COCO_val2014_000000023802,a man posing next to a personal airplane.
COCO_val2014_000000023807,a man and a woman are having a meal at the harbor.
COCO_val2014_000000023840,"sliced bananas placed on a plate, and next to them, a food chopper."
COCO_val2014_000000023879,people waiting for the train to pass by
COCO_val2014_000000023893,a woman eating a sandwich in the stands of a sports stadium.
COCO_val2014_000000023895,a man doing a flip trick on a skateboard.
COCO_val2014_000000023899,a group of men playing a game using a remote control.
COCO_val2014_000000023937,a young cow is resting in the meadow next to the tree.
COCO_val2014_000000023991,a man is riding a skateboard on a lamp.
COCO_val2014_000000024021,group photo of men and boys from goodmayes boys' school (april 1929).
COCO_val2014_000000024027,a big kite being flown in the sky
COCO_val2014_000000024040,three people skiing down a snow-covered slope.
COCO_val2014_000000024045,a gourmet pizza is placed on a plate.
COCO_val2014_000000024053,a living area and a bathroom with a painting of a palm tree.
COCO_val2014_000000024061,a typical bathroom that is very cramped and crowded.
COCO_val2014_000000024097,a boy wearing checkered clothes is observing the elephant parade as it goes by.
COCO_val2014_000000024104,there are three monitors on the computer desk.
COCO_val2014_000000024106,ski jumping is being attempted at the ski resort.
COCO_val2014_000000024112,"a man sitting at a table, looking into a camera lens."
COCO_val2014_000000024133,a person navigating over the water on a dreary day.
COCO_val2014_000000024157,four people are climbing a mountain with walking sticks.
COCO_val2014_000000024247,a girl taking a selfie with a dog.
COCO_val2014_000000024260,several horses are jumping around in the enclosure.
COCO_val2014_000000024285,a young girl tennis player swinging a racket in the distance.
COCO_val2014_000000024323,the very white and modern bathroom feels cold and unwelcoming.
COCO_val2014_000000024343,two people wearing helmets are sitting on a motorcycle behind a car.
COCO_val2014_000000024385,a small group of people is sitting around a laptop and talking.
COCO_val2014_000000024386,"a woman is sitting on the toilet, holding a photo in front of her face and posing."
COCO_val2014_000000024391,two men are cutting a ribbon with scissors.
COCO_val2014_000000024402,a person who is crafting using a hair dryer and a newspaper.
COCO_val2014_000000024430,there is a boat on the lawn in front of the yard.
COCO_val2014_000000024499,a sign depicting a hand with change that reads
COCO_val2014_000000024522,a passenger bus running down the street.
COCO_val2014_000000024530,a giraffe by the tree with its eyes open.
COCO_val2014_000000024536,a person standing on a surfboard at the end of riding a wave.
COCO_val2014_000000024553,there are several baseball players together on the field.
COCO_val2014_000000024560,"two teddy bears dressed as astronauts are drifting through space, connected by a metal rod."
COCO_val2014_000000024566,the old bus parked in the forest
COCO_val2014_000000024601,a woman throws a tennis ball into the air.
COCO_val2014_000000024609,a person sitting in a small boat floating on the water.
COCO_val2014_000000024610,a small room with a computer and a bookshelf.
COCO_val2014_000000024636,the sink beneath the mirror on the counter.
COCO_val2014_000000024652,a herd of cows grazing on grass.
COCO_val2014_000000024693,a long commuter train running above the traffic.
COCO_val2014_000000024721,"the desk has two computer screens, a keyboard, a laptop, a mouse, and a cell phone on it."
COCO_val2014_000000024734,"there is a mini pizza topped with olives, tomatoes, mozzarella, and parmesan on the plate."
COCO_val2014_000000024744,"there is a large clock on the wall of the building, and in front of it, there is a bench."
COCO_val2014_000000024776,a young girl with an orange disc on her head.
COCO_val2014_000000024790,the propeller plane is parked on the runway with its movable wings folded.
COCO_val2014_000000024805,there is a polar bear looking at something.
COCO_val2014_000000024845,the bathroom has a toilet and two sinks.
COCO_val2014_000000024851,there are two traffic signals showing a red light in front of the office building.
COCO_val2014_000000024869,a man is taking a selfie while wearing a dress shirt and tie.
COCO_val2014_000000024880,a computer desk with two computers and books on it.
COCO_val2014_000000024919,two elephants in a wide field.
COCO_val2014_000000024921,the boats docked at the harbor and trees are visible against the skyline.
COCO_val2014_000000024924,"in the hotel's bathroom, there is a shower, a mirror, a scale, and also towels."
COCO_val2014_000000024931,a man walking on the sidewalk
COCO_val2014_000000024958,a man wearing glasses is talking on a mobile phone.
COCO_val2014_000000024996,"a bathroom with a sink, a mirror, and a window"
COCO_val2014_000000025005,a man skiing down a snowy slope.
COCO_val2014_000000025014,i can see the toilet standing in the bathroom.
COCO_val2014_000000025034,"a long dragon boat is floating on the river, and on that boat, there are pairs of rowers, along with two additional people."
COCO_val2014_000000025057,a shirtless man is throwing a frisbee.
COCO_val2014_000000025069,a boy is skating down the street on a skateboard.
COCO_val2014_000000025096,a boy is cutting a cake shaped like a skateboard.
COCO_val2014_000000025123,"a person sitting on the floor under a large, open umbrella."
COCO_val2014_000000025134,a bus stop with many buses and people
COCO_val2014_000000025138,a small kitten is walking along the edge of the laptop.
COCO_val2014_000000025139,two zebras are standing side by side near the fence.
COCO_val2014_000000025143,various photos of people holding frisbees.
COCO_val2014_000000025144,a man trying to hit a tennis ball in a match.
COCO_val2014_000000025158,a girl is about to throw a frisbee in the park.
COCO_val2014_000000025165,a person holding a remote control and prescription medicine in bed.
COCO_val2014_000000025181,the train is running on the railway tracks.
COCO_val2014_000000025191,two elephants covered in mud walk along the path by the brook.
COCO_val2014_000000025202,"there is a chocolate donut on the plate, and next to it, there are orange wedges."
COCO_val2014_000000025228,a girl sitting on a surfboard in the sea at sunset.
COCO_val2014_000000025244,a man sitting on a bench reading a book.
COCO_val2014_000000025252,"next to the church on the outside, there is a clock."
COCO_val2014_000000025286,there are several beautiful flowers arranged in this vase.
COCO_val2014_000000025293,a picture of a woman holding a frisbee.
COCO_val2014_000000025316,a bunch of bananas is placed next to some apples.
COCO_val2014_000000025346,a train that is not for passengers is stopped on the curved tracks.
COCO_val2014_000000025360,a large bird is gliding over the waves of the sea.
COCO_val2014_000000025378,a large red sign with white letters on the side of the building.
COCO_val2014_000000025386,a man eating with chopsticks.
COCO_val2014_000000025393,two men wearing suits and ties are standing on the street.
COCO_val2014_000000025394,a bartender is using a towel to open a wine bottle.
COCO_val2014_000000025424,a tennis player is hitting the ball with a racket.
COCO_val2014_000000025430,a bench placed on a hill rich with greenery.
COCO_val2014_000000025433,two white buses parked in a row in front of the church.
COCO_val2014_000000025467,a person wearing a blue coat is sitting on a snowy slope.
COCO_val2014_000000025508,a female player playing tennis on an asphalt court.
COCO_val2014_000000025517,a surfer crouching on a surfboard while riding over the crest of a wave.
COCO_val2014_000000025521,a delicious fruit-filled dessert on a white plate.
COCO_val2014_000000025529,"a chicken sandwich with tomatoes and lettuce, and french fries with ketchup."
COCO_val2014_000000025550,a sign with the word stop written on it is displayed above a group of people.
COCO_val2014_000000025551,an ambulance and police are at the scene of an accident on the road.
COCO_val2014_000000025560,there is a cat perched on top of the entertainment center in front of the tv.
COCO_val2014_000000025603,a girl dressed as cleopatra is eating pizza at the table.
COCO_val2014_000000025609,a woman lifting a donut in the office.
COCO_val2014_000000025654,two children are trying to cut something with scissors.
COCO_val2014_000000025660,the tall brick building behind the high fountain.
COCO_val2014_000000025668,two people are standing under a polka-dot umbrella.
COCO_val2014_000000025685,a boat with people on it and a red and white airplane.
COCO_val2014_000000025715,"on a cloudy day, a few empty boats are floating on the river."
COCO_val2014_000000025717,the living room is decorated with vintage furniture.
COCO_val2014_000000025743,two elephants are standing inside an indoor enclosure next to a cement wall with a closed door.
COCO_val2014_000000025748,a boat floating on the water.
COCO_val2014_000000025751,there are a lot of fried donuts on two white plates.
COCO_val2014_000000025758,a woman is taking a roasted turkey and stuffing out of the oven at home.
COCO_val2014_000000025804,my family is riding on an african elephant.
COCO_val2014_000000025807,a man is paddleboarding in the sea.
COCO_val2014_000000025809,the street lined with sidewalks and buildings is empty.
COCO_val2014_000000025812,a man holding a skateboard on the snow
COCO_val2014_000000025846,there are a few sticky notes attached to the laptop.
COCO_val2014_000000025853,a road bike leaning against a park bench.
COCO_val2014_000000025860,a man holding a container of milk in the kitchen.
COCO_val2014_000000025864,a girl riding a small skateboard with a handle.
COCO_val2014_000000025955,there are various types of food inside the container.
COCO_val2014_000000025972,there is a sofa placed on a trailer that is connected to a bicycle.
COCO_val2014_000000025984,a child holding a frisbee in a wide field.
COCO_val2014_000000025986,"on the counter, there are items such as a glass of water, rice, and vegetables."
COCO_val2014_000000025989,a black poodle mix is catching a toy.
COCO_val2014_000000025990,"a small child sitting on the grass, holding a flower and a bat."
COCO_val2014_000000025997,it looks like something you would find at a festival or fair.
COCO_val2014_000000026017,multiple streetlights attached to the same streetlight pole.
COCO_val2014_000000026025,a brown building located at an intersection during the daytime.
COCO_val2014_000000026026,a man guiding children who are riding an elephant.
COCO_val2014_000000026045,a row of urinals lined up on the platform next to the yellow wall.
COCO_val2014_000000026051,"in a large industrial kitchen, three chefs are preparing food."
COCO_val2014_000000026159,i'm looking down at a bear sitting next to a large rock.
COCO_val2014_000000026176,a young person is slowly gliding along the trail on cross-country skis.
COCO_val2014_000000026183,a church with a very large clock tower next to a tree.
COCO_val2014_000000026185,"a person holding a surfboard is standing on a sand dune, gazing down at the waves below."
COCO_val2014_000000026200,"in a white vase, there are several beige, white, and red flowers, which are placed on wooden furniture near white curtains."
COCO_val2014_000000026201,a boy with a building and a bicycle.
COCO_val2014_000000026204,a group of cars waiting at an intersection for the traffic light to change.
COCO_val2014_000000026209,a man is tinkering with his motorcycle in the parking lot.
COCO_val2014_000000026348,"a kitchen with a refrigerator, stove, dishwasher, and toaster."
COCO_val2014_000000026363,three elephants with seats and umbrellas are stopped by the water's edge.
COCO_val2014_000000026371,a black dog is trying to pick up a frisbee with its mouth.
COCO_val2014_000000026374,a soccer player is kicking a soccer ball.
COCO_val2014_000000026378,a photo of a man making pizza in the kitchen.
COCO_val2014_000000026386,two ponies are standing together in a mountainous terrain.
COCO_val2014_000000026398,the few pieces of pizza inside the box are placed next to the dvd movie.
COCO_val2014_000000026430,a beach where many people are standing and sitting.
COCO_val2014_000000026432,some people are flying kites over the brown grass.
COCO_val2014_000000026445,a kitchen sink near the cupboard and the dishwasher.
COCO_val2014_000000026448,there are three toy figurines of skiers placed on top of a cauliflower.
COCO_val2014_000000026465,there is a laptop on the desk.
COCO_val2014_000000026472,a vase with flowers on the counter.
COCO_val2014_000000026501,a bus is running near the place where there is a clock on the tower.
COCO_val2014_000000026507,a few people with frisbees on the field.
COCO_val2014_000000026512,a baseball player is preparing to throw the ball.
COCO_val2014_000000026518,a person standing next to a long longboard.
COCO_val2014_000000026522,there is a bathtub and blinds on the wooden floor in the bathroom.
COCO_val2014_000000026534,a man is flying a kite on a sunny day.
COCO_val2014_000000026547,a toothbrush soaking in a sink clogged with hair.
COCO_val2014_000000026560,a woman on a surfboard riding a wave.
COCO_val2014_000000026564,"a monitor, a laptop, and some books are placed on the office desk."
COCO_val2014_000000026573,a crowded market street full of pedestrians with umbrellas in the rain.
COCO_val2014_000000026584,this is a photo of the box for the wii video game console.
COCO_val2014_000000026609,there are no places to park on the city streets.
COCO_val2014_000000026624,"at the wedding, the couple is gently touching their foreheads together."
COCO_val2014_000000026630,a half-made bed in a hotel room
COCO_val2014_000000026640,someone is assembling sandwiches with spit.
COCO_val2014_000000026654,a dog sitting in the passenger seat of a car.
COCO_val2014_000000026665,a close-up of several zebras on the ground.
COCO_val2014_000000026670,two people standing in a field on a cloudy day are flying a kite.
COCO_val2014_000000026671,a white and gray dog is gnawing on rawhide.
COCO_val2014_000000026676,two sandwiches on a green plate.
COCO_val2014_000000026690,a person who is being photographed while riding a skateboard.
COCO_val2014_000000026697,a young woman is brushing her teeth in the bathroom.
COCO_val2014_000000026730,a dog is sitting in the black sidecar of a motorcycle.
COCO_val2014_000000026734,"a couple with a dog, luggage, and a child."
COCO_val2014_000000026735,a cluttered room with a bunk bed and stairs.
COCO_val2014_000000026765,two small whippet dogs are sleeping on a messy bed.
COCO_val2014_000000026768,two cats are sitting on and beside the laptop.
COCO_val2014_000000026799,two giraffes are walking side by side.
COCO_val2014_000000026802,people waiting in the subway to board a train.
COCO_val2014_000000026803,"a cat sitting by the window, gazing outside."
COCO_val2014_000000026817,a digitally edited photo of an athlete hitting a tennis ball
COCO_val2014_000000026828,there are two toothbrushes and one tube of toothpaste in the plastic cup.
COCO_val2014_000000026879,the son is directing the cyclists to their destinations.
COCO_val2014_000000026907,a small boy holding a baseball glove in his hand.
COCO_val2014_000000026908,the dog is chewing on something in the dirt.
COCO_val2014_000000026926,a fire hydrant with graffiti that looks like it's smiling mischievously.
COCO_val2014_000000026941,there is old luggage loaded onto the green cart.
COCO_val2014_000000026946,a baby giraffe behind the fence inside an indoor enclosure.
COCO_val2014_000000026967,there is a group of people waiting for their luggage.
COCO_val2014_000000026992,a gathering of people sitting at a table
COCO_val2014_000000027009,the view of two pizzas on a wooden table.
COCO_val2014_000000027017,a small zebra running around in an enclosed area.
COCO_val2014_000000027065,"a very narrow, sterile-looking bathroom with no color."
COCO_val2014_000000027075,a black and white cat is standing next to my feet.
COCO_val2014_000000027146,a cluttered kitchen stainless steel counter view.
COCO_val2014_000000027186,a young girl playing the wii in the living room.
COCO_val2014_000000027208,a woman is taking a picture of people flying kites on the beach.
COCO_val2014_000000027221,a woman is listening to a mobile device.
COCO_val2014_000000027226,a locomotive stopped at the train station.
COCO_val2014_000000027235,a teddy bear is sitting on the bed in a colorful children's room.
COCO_val2014_000000027246,a fire hydrant located in the grass near the tree.
COCO_val2014_000000027285,"there is a beautiful kitchen facing a wooden wall, and tiles are laid on the floor."
COCO_val2014_000000027297,a cream-colored teddy bear is wearing a crystal crown.
COCO_val2014_000000027326,a saucepan filled with vegetable stew is placed on the stove.
COCO_val2014_000000027353,there is a piece of broccoli and a large bug on the plate.
COCO_val2014_000000027377,a large zebra is walking across the vast savannah.
COCO_val2014_000000027440,the giraffe in the zoo enclosure is next to the barn.
COCO_val2014_000000027441,groups of people standing in various places on the street.
COCO_val2014_000000027463,a cat sitting in the driver's seat of a car.
COCO_val2014_000000027484,several people are walking along a dirt path.
COCO_val2014_000000027493,i am holding a paper plate with a slice of cheese pizza on it.
COCO_val2014_000000027517,a person sitting in front of a computer monitor looking at their mobile phone
COCO_val2014_000000027519,a man with a dog on a leash is talking to another man.
COCO_val2014_000000027528,two people sitting on a wooden bench.
COCO_val2014_000000027530,"the car was running on the road, carrying a lot of cargo."
COCO_val2014_000000027564,two girls sitting on a sofa playing video games.
COCO_val2014_000000027569,an image of three women skiing.
COCO_val2014_000000027570,a girl drying her hair with a hairdryer in the bathroom.
COCO_val2014_000000027578,"three people are in the bedroom, and one of them is lighting the candles on a cake."
COCO_val2014_000000027585,"on the dial of the street clock are roman numerals, and above it stretches a blue sky."
COCO_val2014_000000027609,a plate of meat accompanied by broccoli and a knife.
COCO_val2014_000000027610,a group of people is watching a man use a mobile phone.
COCO_val2014_000000027611,a man riding a skateboard next to the river is talking to a man riding a scooter.
COCO_val2014_000000027617,a dog relaxing on green grass with a yellow frisbee.
COCO_val2014_000000027620,there is a laptop computer on the desk.
COCO_val2014_000000027648,a row of large white urinals is lined up.
COCO_val2014_000000027658,there is a fire hydrant in the middle of the lawn.
COCO_val2014_000000027662,a fishing boat accelerates in the open sea.
COCO_val2014_000000027696,a vegetable pizza on a plate on the table.
COCO_val2014_000000027717,a close-up of various cables and hard drives connected to the side of a laptop.
COCO_val2014_000000027731,a woman is bending forward to hit a tennis ball.
COCO_val2014_000000027755,a red stop sign placed by the side of the road.
COCO_val2014_000000027756,all the traffic lights at the intersection are red.
COCO_val2014_000000027768,a white and red bus is driving down the street.
COCO_val2014_000000027778,two other people are watching a boy who is flying a kite.
COCO_val2014_000000027787,four boats floating on the water on a cloudy day
COCO_val2014_000000027789,the man is playing video games in the living room.
COCO_val2014_000000027805,a little boy chewing on a blue and white toy.
COCO_val2014_000000027842,a bathroom with his and her mirrors and sinks.
COCO_val2014_000000027871,a few men are playing a game on horseback.
COCO_val2014_000000027874,a train stopped at the station at night.
COCO_val2014_000000027897,passengers are waiting at the station to board the commuter train.
COCO_val2014_000000027917,a pedestrian sign on a brick-paved sidewalk
COCO_val2014_000000027932,there is a baseball hat placed on top of a baseball glove in the sand.
COCO_val2014_000000027935,there are beautiful flowers in the bucket by the window.
COCO_val2014_000000027969,a woman expressing joy on an outdoor bench near a busy area.
COCO_val2014_000000027972,"a man surfing on the calm, clear blue sea."
COCO_val2014_000000027982,the modern bathroom has a stone washbasin area and tiled walls.
COCO_val2014_000000028002,there is a very large building/tower standing alongside nearby tents.
COCO_val2014_000000028022,the door to the bathroom with white tiled walls and a toilet is open.
COCO_val2014_000000028039,eight zebras are standing and drinking water.
COCO_val2014_000000028071,a sign with a shopping cart placed next to the road.
COCO_val2014_000000028114,a very long and brightly colored city bus is on the road.
COCO_val2014_000000028115,a blue and yellow train is passing through the center of the town.
COCO_val2014_000000028134,a parrot is perched on the owner's finger.
COCO_val2014_000000028156,a signboard attached to a metal pole standing in the grass.
COCO_val2014_000000028157,people on the beach are watching an airplane flying overhead.
COCO_val2014_000000028174,a person jumping with a skateboard in the air
COCO_val2014_000000028192,a person flying a kite on a cloudy seashore on a sunny day.
COCO_val2014_000000028194,a smiling woman wearing a wetsuit is riding a wave on her surfboard.
COCO_val2014_000000028209,"a bathroom equipped with various items such as a cabinet, sink, towels, and a washing machine."
COCO_val2014_000000028239,the kitchen is equipped with all the proper facilities.
COCO_val2014_000000028273,a kitten is sitting in an open bag with a zipper.
COCO_val2014_000000028285,the white spire near the roof of the nearby building.
COCO_val2014_000000028290,a group of surfers is changing clothes by the seaside.
COCO_val2014_000000028293,an old green truck drives through the town.
COCO_val2014_000000028343,there are a donut and a coffee cup on the table.
COCO_val2014_000000028359,"you can see a dog's head reflected in the rearview mirror, with the sky and trees in the background."
COCO_val2014_000000028377,"a city street surrounded by tall, colorful buildings."
COCO_val2014_000000028378,there are many boats at the dock.
COCO_val2014_000000028389,there is a truck and a propeller plane parked near my house.
COCO_val2014_000000028449,the elephants standing on the road are lined up side by side.
COCO_val2014_000000028452,a very large refrigerator that has nothing inside.
COCO_val2014_000000028463,this is a plate on the table with food and a fork.
COCO_val2014_000000028506,"frying pans hanging in a small, neatly organized commercial kitchen."
COCO_val2014_000000028508,a group of three giraffes running in the field.
COCO_val2014_000000028526,"a blue, pink, and purple train is stopped at the station."
COCO_val2014_000000028535,a surfer is riding the waves in rough waters.
COCO_val2014_000000028582,various vegetables are placed on the sheet.
COCO_val2014_000000028649,a giraffe eating leaves hanging near the wooden fence.
COCO_val2014_000000028655,there is a clock standing at the corner of the quiet street.
COCO_val2014_000000028671,the woman at the table is lighting a candle with a lighter.
COCO_val2014_000000028675,a police officer on a motorcycle is riding through the city.
COCO_val2014_000000028676,a man catching a frisbee in a wide field.
COCO_val2014_000000028682,"the stove, microwave, and sink in the kitchen."
COCO_val2014_000000028688,several people are playing with the television and remote control.
COCO_val2014_000000028692,a man riding a skateboard is jumping over several steps.
COCO_val2014_000000028702,a man wearing a red shirt and a black tie is looking out the window.
COCO_val2014_000000028713,a person holding a 30-centimeter hot dog in their left hand.
COCO_val2014_000000028714,a bicycle parked in front of a glass door and window decorated in a variety of colors.
COCO_val2014_000000028758,there are a giraffe and a zebra in the grassy field.
COCO_val2014_000000028790,"the small bathroom is neat, and it is equipped with a cat toilet."
COCO_val2014_000000028809,a very ripe banana is placed in a purple basket.
COCO_val2014_000000028826,there is a bench on the beach with sand piled around its legs.
COCO_val2014_000000028850,a room with a tiled floor and a neatly made bed.
COCO_val2014_000000028864,"there are sliced apples, bananas, and some pomegranate in a white bowl."
COCO_val2014_000000028872,the horse is coming out of the stable.
COCO_val2014_000000028874,a black-haired dog lying on a chair.
COCO_val2014_000000028885,a giraffe in the shade behind the enclosure.
COCO_val2014_000000028903,a tabby cat sitting on the toilet inside the bathroom.
COCO_val2014_000000028957,a small bear is climbing a tree trying to eat a coconut.
COCO_val2014_000000028978,four different perspectives on various computer peripherals.
COCO_val2014_000000028982,there is a stop sign and a sign to fasten your seatbelt on the side of the road.
COCO_val2014_000000028994,a man riding a skateboard on the waves.
COCO_val2014_000000028998,the boy is holding something in front of him.
COCO_val2014_000000029019,the large clock tower in the center of the town.
COCO_val2014_000000029020,a man standing at the water's edge among the waves.
COCO_val2014_000000029030,two images capturing a man holding a mobile phone and waving his hand.
COCO_val2014_000000029045,that person is skiing in the mountains.
COCO_val2014_000000029056,a green road sign with a banner hanging on one side.
COCO_val2014_000000029059,"this girl is sitting in a seat, eating her favorite dessert."
COCO_val2014_000000029080,a man sitting on a boat's anchor and looking at his cellphone.
COCO_val2014_000000029125,there is a tall clock tower illuminated by lights.
COCO_val2014_000000029136,the boy is hitting the ball with a racket.
COCO_val2014_000000029138,a group of people are standing on snowboards and skis.
COCO_val2014_000000029151,a woman standing on a board while holding an oar on the sea.
COCO_val2014_000000029160,a bird standing by the water's edge.
COCO_val2014_000000029170,a horse tethered to a post near the sea.
COCO_val2014_000000029197,the propeller plane leaves a trail of smoke behind it.
COCO_val2014_000000029224,a white bathroom with an open toilet lid.
COCO_val2014_000000029306,a dog sitting on the beach is staring into the distance.
COCO_val2014_000000029308,a bed placed in a room with electricity.
COCO_val2014_000000029346,a cake shaped like a train locomotive.
COCO_val2014_000000029357,a pizza topped with cheese and sprinkled with red and green bell peppers.
COCO_val2014_000000029358,a man eating a donut in front of a river with a waterfall.
COCO_val2014_000000029370,a cat standing near the table with the book.
COCO_val2014_000000029393,a brown dog standing on a wooden bench near a lemon tree.
COCO_val2014_000000029397,an image of a boy standing on a bench
COCO_val2014_000000029431,a man is playing with a frisbee in front of a car-mounted sign.
COCO_val2014_000000029437,a person sitting near several skis and poles in the snow.
COCO_val2014_000000029444,a close-up photo of a person holding a frisbee in a field.
COCO_val2014_000000029449,"a corner view of the home's bathroom. there's a toilet, a mirror, a sink, and bath supplies."
COCO_val2014_000000029465,a small bird standing on a snow-covered ground.
COCO_val2014_000000029472,a woman with an umbrella is walking alone in the rain.
COCO_val2014_000000029484,two giraffes are standing in the sunlight. one is on the grass.
COCO_val2014_000000029504,"two food trays filled with vegetables, rice, and meat."
COCO_val2014_000000029521,a man with closed eyes and a woman talking on the phone in the background.
COCO_val2014_000000029524,a woman catches a soccer ball during the match.
COCO_val2014_000000029558,a man and a boy holding a kite string.
COCO_val2014_000000029563,a tennis player is swinging at an approaching tennis ball.
COCO_val2014_000000029573,a photo of the president walking in front of the building.
COCO_val2014_000000029577,the two horses have wings on their heads.
COCO_val2014_000000029587,there is a cat on the head of a man wearing a blue hat.
COCO_val2014_000000029593,a photo of a train running on the road.
COCO_val2014_000000029594,a no parking sign is posted next to the wall.
COCO_val2014_000000029596,a lounge room equipped with a table for two to enjoy coffee.
COCO_val2014_000000029640,the broccoli is cooked together with ham and carrots.
COCO_val2014_000000029648,a red fire hydrant placed in front of a stucco wall
COCO_val2014_000000029656,the yellow fire hydrant has several valves attached to it.
COCO_val2014_000000029675,a close-up of three hot dogs with mustard on them.
COCO_val2014_000000029680,three giraffes standing in a row near a tree.
COCO_val2014_000000029697,an empty kitchen with a window and a refrigerator.
COCO_val2014_000000029709,an empty dining area with a round table with several umbrellas and chairs with red and green backs.
